PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
13296,"Nikola Vucevic",6200,C,BOS,MIL,161838,457598,-,29,16.72,9.4,2.37,1.66,1.57,0.56,0.71,19.09,26.12,28.49,1.27,11.77,10.01,5.02,4.38,2.1,1.71,14.39,6.68,33.8,33.8,35.2,5.68,27.72%,125,134,MON,12334,1,13296,26.77,44.3,44.23,44.23,31.19,26.65,31.43,35.2,38.72,44.25,46.51,56.07,
37858,"Derrick White",8200,PG,BOS,MIL,161838,796009,-,35,21.31,4.55,6.46,3.6,2.42,1.18,1.85,27.77,25.86,32.32,3.03,11.01,8.67,3.64,10.05,3.69,3.24,18.72,7.24,43.13,43.13,43.46,5.3,32.12%,125,134,MON,38299,4,37858,33.83,53.95,43.85,43.85,22.68,33.75,39.37,43.46,47.55,54.2,57.01,69.54,
2439093,"Payton Pritchard",7200,PG/SG,BOS,MIL,161838,945610,-,33.5,22.59,3.4,6.49,3.87,1.83,0.99,0.14,29.08,25.99,32.48,1.13,9.89,9.25,4.45,10.03,2.41,2.06,19.28,8.32,37.97,37.97,39.94,5.55,33.80%,125,134,MON,73477,5,2439093,30.52,50.17,46.54,46.54,26.87,30.34,35.79,39.94,43.83,49.8,52.39,63.02,
3005208,"Luka Garza",3300,C,BOS,MIL,161838,1061057,,17,8.98,4.9,1.26,0.88,0.53,0.48,0.17,10.24,13.88,15.14,0.65,6.16,4.07,2.15,2.24,2.74,2.04,6.31,3.03,18.17,18.17,18.49,5.6,16.80%,125,134,MON,72919,6,3005208,12.78,24.94,12.48,12.48,14.21,12.92,16.21,18.49,21.02,25.08,26.85,34.7,
3022247,"Sam Hauser",4800,SF/PF,BOS,MIL,161838,922378,,29,11.97,4.08,1.85,3.42,0.52,0.39,0.31,13.82,16.05,17.9,0.7,5.93,1.68,0.72,8.42,0.29,0.27,10.1,4.14,21.22,21.22,22.7,4.73,8.38%,125,134,MON,72761,8,3022247,15.33,30.97,15.15,15.15,10.51,15.48,19.6,22.7,26.05,31.47,33.53,42.82,
4878181,"Jordan Walsh",3400,PF,BOS,MIL,161838,1401388,,18.5,5.03,4.56,0.38,0.79,0.9,0.45,0.34,5.41,9.59,9.97,0.79,4.94,2.05,0.97,2.21,0.98,0.71,4.26,1.76,12.54,12.54,12.83,3.77,0.42%,125,134,MON,245001,9,4878181,7.91,18.53,1.54,1.54,0.85,7.95,10.52,12.83,15.14,18.99,20.27,27.46,
6412744,"Baylor Scheierman",4300,SG,BOS,MIL,161838,1177129,,30,9.17,6.49,2.66,2.19,1.29,0.75,0.21,11.83,15.66,18.32,0.96,9.15,2.3,0.96,6.15,0.82,0.69,8.45,3.15,22.54,22.54,23.71,5.51,32.24%,125,134,MON,90655,10,6412744,16.76,31.6,27.16,27.16,19.83,16.9,20.68,23.71,26.99,31.53,33.55,42.63,
8998149,"Hugo Gonzalez",3500,SG/SF,BOS,MIL,161838,1590553,,26,5.66,5.04,1.01,0.83,0.81,1.28,0.39,6.67,10.7,11.71,1.67,6.05,3.05,1.42,2.61,0.72,0.34,5.66,2.25,17.42,17.42,16.83,4.81,0.49%,125,134,MON,622359,11,8998149,9.77,25.25,0.18,0.18,11.81,9.85,13.55,16.83,20.11,25.45,27.5,36.94,
8998151,"Amari Williams",3000,C,BOS,MIL,161838,1232028,,2,0.69,0.62,0.12,0,0.1,0.04,0.07,0.81,1.31,1.43,0.11,0.74,0.48,0.27,0,0.21,0.14,0.48,0.27,1.84,1.84,1.82,0.61,0.05%,125,134,MON,148717,13,8998151,0.48,3.86,0,0,0,0,1.52,1.82,2.83,4.25,5.16,8.19,
3005155,"Dalano Banton",,,BOS,MIL,161838,1138668,,2,0.82,0.12,0.27,0.1,0.12,0.04,0.08,1.09,0.94,1.21,0.12,0.39,0.46,0.17,0.32,0.22,0.17,0.78,0.27,1.61,1.61,1.61,32,0.00%,125,134,MON,90558,16,3005155,0.25,3.06,0,0,0,0,0,1.61,2.15,3.76,4.83,8.05,
3583585,"Ron Harper",3200,SF/PF,BOS,MIL,161838,1133934,,18,4.97,2,1.59,1.27,0.21,0.21,0.55,6.56,6.97,8.56,0.76,3.59,1.34,0.42,5.03,0.45,0.31,6.37,1.69,11.83,11.83,11.91,3.72,40.21%,125,134,MON,69896,17,3583585,7.92,16.48,34.41,34.41,0.16,7.89,10.14,11.91,13.68,16.42,17.54,22.85,
13301,"Jonas Valanciunas",3500,C,DEN,UTA,161839,599780,,12,7.55,4.28,0.89,0.11,1.22,0.48,0.53,8.44,11.83,12.72,1.01,5.17,5.24,2.87,0.44,1.82,1.48,5.68,2.98,15.83,15.83,15.7,4.49,0.18%,145,149,MON,12323,20,13301,10.56,21.46,1.78,1.78,2.94,10.64,13.42,15.7,17.98,21.27,22.79,29.12,
16879,"Tim Hardaway Jr.",4600,SF/PF,DEN,UTA,161839,551771,,30,15.4,2.91,1.59,3.14,0.69,0.67,0.19,16.99,18.31,19.9,0.86,4.5,3.98,1.79,8.23,2.9,2.41,12.21,4.93,23.17,23.17,24.37,5.3,15.31%,145,149,MON,12479,21,16879,16.85,32.84,29.51,29.51,18.62,17.01,21.07,24.37,27.67,33,35.03,45.44,
31812,"Nikola Jokic",12500,C,DEN,UTA,161839,830650,,34,29.93,13.24,10.03,2.24,4.12,1.34,0.88,39.96,43.17,53.2,2.22,23.27,14.77,8.02,5.57,8.81,7.16,20.34,10.26,63.4,63.4,66.77,5.34,54.12%,145,149,MON,12576,23,31812,55.51,78.47,52.7,52.7,30.88,55.55,62.08,66.77,71.73,78.77,81.38,92.33,
35211,"Jamal Murray",8800,PG,DEN,UTA,161839,891352,,34,25.11,4.02,6.42,3.02,2.29,0.98,0.52,31.53,29.13,35.55,1.5,10.44,12.3,5.71,7.35,5.27,4.62,19.65,8.73,41.77,41.77,43.26,4.92,20.47%,145,149,MON,28062,24,35211,33.76,53.38,20.95,20.95,13.68,33.59,38.93,43.26,47.08,53.18,55.73,67.43,
408913,"Bruce Brown",4300,PG/SG,DEN,UTA,161839,941834,,27.5,8.61,4.07,2.6,0.67,1.46,1.62,0.32,11.21,12.68,15.28,1.94,6.67,5.6,2.58,1.95,1.84,1.44,7.55,3.25,21.75,21.75,21.09,4.9,0.05%,145,149,MON,75331,25,408913,14.96,27.95,10.82,10.82,8.51,14.99,18.55,21.09,23.89,28.2,29.98,38.62,
2439457,"Zeke Nnaji",3000,PF/C,DEN,UTA,161839,1193676,,14,4.63,4.24,0.57,0.34,0.53,0.28,0.86,5.2,8.87,9.44,1.14,4.81,2.63,1.21,1.23,1.64,1.18,3.86,1.55,13.46,13.46,12.97,4.32,4.83%,145,149,MON,92620,27,2439457,8.28,18.35,4.2,4.2,1.82,8.39,10.94,12.97,15,18.31,19.84,25.94,
3588037,"Christian Braun",5400,SG,DEN,UTA,161839,1174878,,32,13.31,5.61,2.58,1.13,1.35,0.62,0.57,15.89,18.92,21.5,1.19,8.19,7.01,3.72,3.28,3.15,2.47,10.29,4.85,26.13,26.13,26.51,4.91,15.12%,145,149,MON,90542,29,3588037,19.54,34.29,13.41,13.41,11.14,19.44,23.48,26.51,29.54,34.34,36.36,44.94,
