PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
409154,"Michael Porter Jr.",8800,SF,BKN,BOS,160987,1061724,-,31,19.32,6.16,2.79,3,1.67,0.64,0.32,22.11,25.48,28.27,0.96,8.95,8.25,3.83,7.91,3.21,2.67,16.16,6.83,32.11,32.11,33.9,3.85,1.64%,126,125,FRI,75295,1,409154,25.39,43.29,1.44,1.44,1.24,25.36,30.28,33.9,37.78,43.22,45.8,55.9,
1115132,"Nic Claxton",6600,C,BKN,BOS,160987,1061682,-,27.5,11,6.35,3.11,0.05,1.06,0.57,0.46,14.11,17.35,20.46,1.03,9.46,7.56,4.54,0.25,3.11,1.78,7.81,4.59,25.32,25.32,25.24,3.82,0.22%,126,125,FRI,71024,2,1115132,18.86,32.38,0.42,0.42,0.43,18.87,22.44,25.24,27.79,32.38,34.16,42.58,
1115590,"Terance Mann",4000,SG/SF,BKN,BOS,160987,879504,-,10,2.74,1.1,0.68,0.32,0.49,0.22,0.07,3.42,3.84,4.52,0.29,1.78,1.37,0.69,0.86,0.48,0.38,2.23,1.01,5.46,5.46,5.63,1.41,0.39%,126,125,FRI,74628,3,1115590,2.31,9.57,0,0,0,2.41,4.29,5.63,7.24,9.65,10.99,16.09,
3005094,"Day'Ron Sharpe",5600,C,BKN,BOS,160987,1243725,,18.5,7.9,5.99,1.68,0.16,1.19,0.81,0.32,9.58,13.89,15.57,1.13,7.67,5.03,2.89,0.69,2.37,1.63,5.72,3.05,19.81,19.81,19.68,3.51,0.05%,126,125,FRI,148967,4,3005094,14.01,26.01,0.12,0.12,0.25,14.06,17.3,19.68,22.24,26.07,27.86,35.27,
3005396,"Ziaire Williams",4400,SF,BKN,BOS,160987,1231313,,13.5,4.69,1.58,0.56,0.8,0.49,0.69,0.15,5.25,6.27,6.83,0.84,2.14,1.64,0.68,2.48,1.1,0.93,4.12,1.48,9.46,9.46,9.34,2.12,0.05%,126,125,FRI,149033,5,3005396,4.94,14.66,0,0,0,5.07,7.47,9.34,11.74,14.94,16.28,22.95,
3587751,"Ochai Agbaji",3200,SF/PF,BKN,BOS,160987,1132831,,16,4.92,2.36,0.67,0.69,0.61,0.07,0.25,5.59,7.28,7.95,0.32,3.03,2.73,1.18,2.16,0.63,0.47,4.89,1.87,9.11,9.11,9.56,2.99,0.46%,126,125,FRI,72696,7,3587751,5.17,14.83,0,0,0.1,5.17,7.49,9.56,11.37,14.47,16.02,21.71,
3588057,"Josh Minott",3000,SF/PF,BKN,BOS,160987,1324299,,3.5,0.97,0.46,0.18,0.16,0.13,0.15,0.09,1.15,1.43,1.61,0.24,0.64,0.36,0.18,0.39,0.15,0.13,0.75,0.34,2.38,2.38,2.31,0.77,0.05%,126,125,FRI,179736,9,3588057,0.36,4.71,0,0,0,0,1.44,2.31,3.47,5.49,6.35,10.68,
4878197,"Noah Clowney",4900,PF,BKN,BOS,160987,1401380,,29.5,11.1,4.31,1.44,1.96,1.29,0.62,0.34,12.54,15.41,16.85,0.96,5.75,3.28,1.33,5.86,3.21,2.55,9.14,3.29,20.02,20.02,20.91,4.27,0.89%,126,125,FRI,244975,11,4878197,14.31,28.46,3.09,3.09,4.37,14.28,18.11,20.91,23.71,28.3,30.35,38.51,
4878198,"Jalen Wilson",3000,PF,BKN,BOS,160987,1174884,,3.5,1.17,0.6,0.11,0.2,0.1,0.12,0.03,1.28,1.77,1.88,0.15,0.71,0.43,0.17,0.57,0.3,0.23,1,0.37,2.41,2.41,2.44,0.81,0.05%,126,125,FRI,90541,12,4878198,0.67,4.64,0,0,0,0,1.53,2.44,3.66,5.8,6.71,11.59,
8985498,"Egor Demin",5000,PG/SG,BKN,BOS,160987,1523978,,26.5,9.5,2.97,2.77,1.8,1.26,0.55,0.41,12.27,12.47,15.24,0.96,5.74,3.83,1.5,4.67,1.33,1.1,8.5,3.3,18.84,18.84,19.56,3.91,0.05%,126,125,FRI,455367,15,8985498,13.08,26.92,0.81,0.81,2.2,13.21,16.77,19.56,22.35,26.93,28.7,36.83,
