slate_date,contest_name,contest_entry,contest_entries,lineup_id,pos,team,name,salary,proj,proj_own,own,actual,proj_minutes,actual_minutes,error
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,PG,CLE,Dennis Schroder,4600,28.5,30.0,28.0,38.0,28.0,27.1,9.5
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,SG,HOU,Reed Sheppard,5000,18.5,22.0,24.4,42.5,26.0,30.4,24.0
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,SF,GSW,Moses Moody,5900,22.0,22.0,25.4,24.0,26.0,17.1,2.0
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,PF,DET,Jaylin Williams,4800,28.0,25.0,23.6,55.75,25.0,38.0,27.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,C,CLE,Jarrett Allen,7200,36.0,18.0,19.7,49.25,24.0,35.2,13.25
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,G,MIL,Ryan Rollins,7800,26.0,5.0,3.8,34.25,27.0,24.5,8.25
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,F,GSW,Al Horford,5300,21.5,12.0,13.2,26.25,25.0,18.8,4.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,1,UTIL,HOU,Alperen Sengun,9300,48.0,12.0,11.3,72.75,27.0,38.0,24.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,PG,DET,Cade Cunningham,10700,48.5,16.0,14.4,64.5,28.0,38.0,16.0
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,SG,HOU,Reed Sheppard,5000,18.5,22.0,24.4,42.5,26.0,30.4,24.0
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,SF,GSW,Will Richard,4400,16.0,4.0,3.5,42.75,26.0,30.5,26.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,PF,DET,Jaylin Williams,4800,28.0,25.0,23.6,55.75,25.0,38.0,27.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,C,GSW,Quinten Post,4000,16.5,5.5,4.3,28.0,24.0,20.0,11.5
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,G,CLE,Dennis Schroder,4600,28.5,30.0,28.0,38.0,27.0,27.1,9.5
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,F,HOU,Alperen Sengun,9300,48.0,12.0,11.3,72.75,25.0,38.0,24.75
2026-02-25,$4 NBA $40K Four Point Play,$4,11890,2,UTIL,CLE,Jarrett Allen,7200,36.0,18.0,19.7,49.25,27.0,35.2,13.25
2026-02-25,$18 NBA $300K Fadeaway,$18,19607,3,PG,MEM,Javon Small,4500,22.0,8.0,7.0,31.0,28.0,22.1,9.0
2026-02-25,$18 NBA $300K Fadeaway,$18,19607,3,SG,CLE,Sam Merrill,4700,18.0,5.0,4.1,22.75,26.0,16.2,4.75
2026-02-25,$18 NBA $300K Fadeaway,$18,19607,3,SF,DET,Aaron Wiggins,5200,22.5,10.0,9.3,37.5,26.0,26.8,15.0
