PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,CJ McCollum,6500,PG/SG,ATL,BKN,164222,522878,-,28.5,17.77,3.53,3.61,2.51,1.63,0.73,0.5,21.38,21.3,24.91,1.23,7.14,8.99,3.98,6.52,2.98,2.28,15.51,6.49,29.48,29.48,30.51,4.69,0%,135,126,THURS,12451,1,17121,22.52,39.39,0,0,0,22.37,26.95,30.51,33.56,39.19,41.7,51.11,
574538,Gabe Vincent,3100,PG,ATL,BKN,164222,851253,-,6,1.86,0.37,0.64,0.48,0.15,0.16,0.02,2.5,2.23,2.87,0.18,1.01,0.45,0.17,1.4,0.1,0.08,1.85,0.65,3.65,3.65,3.81,1.23,0%,135,126,THURS,73848,3,574538,1.05,7.65,0,0,0,1.09,2.18,3.81,5.17,7.62,8.98,14.15,
1115445,Nickeil Alexander-Walker,7300,PG/SG,ATL,BKN,164222,1067668,-,32.5,18.5,2.33,3.76,2.91,1.8,1.42,0.27,22.26,20.83,24.59,1.69,6.09,7.56,3.37,7.58,3.52,3.04,15.14,6.28,30.21,30.21,30.99,4.25,0%,135,126,THURS,69666,4,1115445,22.76,40.11,0,0,0,22.79,27.4,30.99,34.58,40.21,42.52,53.53,
2439277,Onyeka Okongwu,7600,C,ATL,BKN,164222,1185367,,29,14.34,7.1,2.9,1.49,1.31,1.37,1.65,17.24,21.44,24.34,3.02,10,7.37,3.88,3.96,2.79,2.13,11.33,5.37,34.96,34.96,33.9,4.46,0%,135,126,THURS,91845,5,2439277,25.86,42.91,0,0,0,25.92,30.41,33.9,37.14,42.38,44.62,54.09,
3005263,Jalen Johnson,10800,PF,ATL,BKN,164222,1230356,,34.5,23.23,8.86,6.37,1.73,2.74,2.12,0.54,29.6,32.09,38.46,2.66,15.23,13.77,6.62,5.08,6.23,4.81,18.85,8.35,48.66,48.66,49.33,4.57,0%,135,126,THURS,165214,6,3005263,39.52,59.68,0,0,0,39.72,45.18,49.33,53.74,59.72,62.31,74.26,
3005340,Corey Kispert,3300,SG/SF,ATL,BKN,164222,1077554,,14,5.62,1.23,1.02,1.02,0.37,0.04,0.12,6.64,6.85,7.87,0.16,2.25,1.9,0.91,2.71,0.95,0.76,4.61,1.93,8.74,8.74,9.33,2.83,0%,135,126,THURS,72585,7,3005340,4.88,14.73,0,0,0,4.92,7.26,9.33,11.4,14.77,16.07,22.55,
3007111,Jonathan Kuminga,6000,SF/PF,ATL,BKN,164222,1271708,Q,23,13.34,5.36,2.6,1.04,1.83,1.05,0.35,15.94,18.7,21.3,1.4,7.96,7.2,3.45,3.08,4.61,3.32,10.28,4.49,26.04,26.04,26.39,4.4,0%,135,126,THURS,165213,8,3007111,19.48,34.06,0,0,0,19.79,23.6,26.39,29.69,34.26,36.29,44.91,
3012652,Jock Landale,3700,C,ATL,BKN,164222,850308,,17,7.19,2.97,1.14,0.63,0.36,0.34,0.42,8.33,10.16,11.3,0.76,4.11,4.11,2.07,1.62,1.69,1.17,5.73,2.7,14.38,14.38,14.27,3.86,0%,135,126,THURS,74198,9,3012652,9.22,20.11,0,0,0,9.17,11.98,14.27,16.56,20.13,21.66,28.79,
3587993,Dyson Daniels,6800,SG/SF,ATL,BKN,164222,1357745,Q,32,10.27,6.36,5.8,0.42,1.02,2.01,0.6,16.07,16.63,22.43,2.61,12.16,7.95,4.03,1.64,1.55,0.93,9.59,4.45,33.41,33.41,31.98,4.7,0%,135,126,THURS,195261,12,3587993,24.7,40.11,0,0,0,24.93,28.71,31.98,35.25,40.04,42.05,51.62,
4388493,Keaton Wallace,3000,PG,ATL,BKN,164222,1063166,,1,0.39,0.05,0.09,0.08,0.05,0.01,0,0.48,0.44,0.53,0.01,0.14,0.17,0.07,0.22,0.03,0.02,0.39,0.15,0.57,0.57,0.62,0.21,0%,135,126,THURS,245561,13,4388493,0.62,0.62,0,0,0,0.27,0.44,0.62,0.8,1.06,1.13,1.18,
