PLAYER (TEAM, POSITION)	Rest	OPP (ET)	DvP	SPREAD	O/U	PRED
SCORE	PROJ
RANK	$
RANK	RANK
DIFF	PROJ
PTS	SALARY	CPP
Nikola Jokic (DEN - C)	1	@MEM (Wed 8:30PM)	20th	DEN -13	243.5	128.5	1	1	0	66.8	$12,500	$187
Jalen Johnson (ATL - PF)	2	@DAL (Wed 8:30PM)	23rd	ATL -8.5	237.5	123	2	3	1	53.6	$10,700	$200
Kawhi Leonard (LAC - SF)DTD	4	@NOR (Wed 8:00PM)	23rd	NOR -2	234.5	116.5	3	5	2	49.9	$9,700	$194
Shai Gilgeous-Alexander (OKC - PG)	1	@BKN (Wed 7:30PM)	9th	OKC -19.5	213.5	116.5	4	2	-2	49.4	$11,100	$225
Josh Giddey (CHI - PG)	2	TOR (Wed 8:00PM)	12th	TOR -7.5	234.5	113.5	5	4	-1	44.3	$9,900	$223
Scottie Barnes (TOR - PF)	3	@CHI (Wed 8:00PM)	27th	TOR -7.5	234.5	121	6	16	10	44.1	$8,400	$190
Jaylen Brown (BOS - SG/SF)	2	GSW (Wed 7:00PM)	13th	BOS -11.5	216.5	114	7	8	1	43.7	$9,200	$210
Jamal Murray (DEN - PG)	1	@MEM (Wed 8:30PM)	21st	DEN -13	243.5	128.5	8	9	1	43.3	$9,000	$208
Deni Avdija (POR - SF/PF)	2	@IND (Wed 7:30PM)	16th	POR -11.5	232.5	122	9	11	2	41.7	$8,800	$211
Julius Randle (MIN - PF)	1	UTH (Wed 8:00PM)	24th	MIN -13.5	231.5	122.5	10	20	10	41.3	$8,100	$196
Pascal Siakam (IND - PF)DTD	10	POR (Wed 7:30PM)	15th	POR -11.5	232.5	110.5	11	21	10	40.6	$8,100	$199
Brandon Ingram (TOR - SG)	3	@CHI (Wed 8:00PM)	27th	TOR -7.5	234.5	121	12	17	5	39.7	$8,300	$209
Cooper Flagg (DAL - PG)	2	ATL (Wed 8:30PM)	23rd	ATL -8.5	237.5	114.5	13	10	-3	39.0	$8,900	$228
Trey Murphy III (NOR - PG/SG)	2	LAC (Wed 8:00PM)	15th	NOR -2	234.5	118.5	14	25	11	38.5	$7,900	$205
Zion Williamson (NOR - PF)	2	LAC (Wed 8:00PM)	5th	NOR -2	234.5	118.5	15	27	12	38.3	$7,800	$203
Darius Garland (LAC - PG)DTD	2	@NOR (Wed 8:00PM)	17th	NOR -2	234.5	116.5	16	24	8	37.3	$7,900	$212
Donovan Clingan (POR - C)	2	@IND (Wed 7:30PM)	23rd	POR -11.5	232.5	122	17	23	6	36.5	$8,000	$219
RJ Barrett (TOR - SF)	3	@CHI (Wed 8:00PM)	19th	TOR -7.5	234.5	121	18	35	17	36.2	$7,300	$202
Immanuel Quickley (TOR - PG)	3	@CHI (Wed 8:00PM)	19th	TOR -7.5	234.5	121	19	37	18	36.2	$7,200	$199
Onyeka Okongwu (ATL - C)	2	@DAL (Wed 8:30PM)	29th	ATL -8.5	237.5	123	20	36	16	35.9	$7,300	$203
Jalen Williams (OKC - SF)DTD	35	@BKN (Wed 7:30PM)	22nd	OKC -19.5	213.5	116.5	21	19	-2	35.4	$8,200	$231
Dejounte Murray (NOR - PG)DTD	5	LAC (Wed 8:00PM)	15th	NOR -2	234.5	118.5	22	31	9	35.3	$7,500	$212
Derrick White (BOS - PG)	2	GSW (Wed 7:00PM)	16th	BOS -11.5	216.5	114	23	29	6	35.2	$7,700	$219
Michael Porter Jr. (BKN - SF)DTD	8	OKC (Wed 7:30PM)	1st	OKC -19.5	213.5	97	24	18	-6	34.7	$8,300	$239
