"PLAYER (TEAM, POSITION)",REST,OPP (ET),DVP,SPREAD,O/U,"PRED
SCORE","PROJ
RANK","$
RANK","RANK
DIFF","PROJ
PTS",SALARY,CPP
Cade Cunningham (DET - PG),2,@WAS (Tue 7:00PM),25th,DET -17.5,233.5,125.5,1,1,0,54.0,"$11,300",$209
"Giannis Antetokounmpo (MIL - PF)
DTD",2,CLE (Tue 8:00PM),25th,-CLE 10.5,228.5,109,1,4,3,53.8,"$10,800",$201
Shai Gilgeous-Alexander (OKC - PG),2,@ORL (Tue 7:00PM),16th,OKC -9.5,223,116.5,2,3,1,51.2,"$11,000",$215
Devin Booker (PHO - PG/SG),1,@MIN (Tue 8:00PM),24th,MIN -4,221.5,109,3,15,12,43.8,"$8,700",$199
Donovan Mitchell (CLE - SG),2,@MIL (Tue 8:00PM),24th,-CLE 10.5,228.5,119.5,1,6,5,43.6,"$9,800",$225
LaMelo Ball (CHA - PG),3,MIA (Tue 7:00PM),23rd,CHA -4,233.5,119,4,16,12,43.5,"$8,600",$198
Karl-Anthony Towns (NYK - C),2,IND (Tue 7:30PM),23rd,NYK -15.5,223.5,119.5,3,12,9,43.2,"$9,000",$208
James Harden (CLE - PG),2,@MIL (Tue 8:00PM),26th,-CLE 10.5,228.5,119.5,5,10,5,43.0,"$9,300",$216
"Jalen Brunson (NYK - PG)
DTD",2,IND (Tue 7:30PM),28th,NYK -15.5,223.5,119.5,7,9,2,41.8,"$9,500",$227
Jalen Duren (DET - C),2,@WAS (Tue 7:00PM),30th,DET -17.5,233.5,125.5,4,20,16,41.3,"$8,300",$201
Paolo Banchero (ORL - PF),1,OKC (Tue 7:00PM),11th,OKC -9.5,223,107,2,7,5,40.4,"$9,600",$237
Bam Adebayo (MIA - C),3,@CHA (Tue 7:00PM),4th,CHA -4,233.5,115,5,13,8,40.3,"$8,900",$221
Julius Randle (MIN - PF),2,PHO (Tue 8:00PM),13th,MIN -4,221.5,113,3,30,27,39.3,"$7,700",$196
Brandon Miller (CHA - SF),3,MIA (Tue 7:00PM),18th,CHA -4,233.5,119,1,24,23,37.9,"$8,000",$211
"Trae Young (WAS - PG)
DTD",1,DET (Tue 7:00PM),3rd,DET -17.5,233.5,108,8,33,25,37.4,"$7,500",$201
"Pascal Siakam (IND - PF)
DTD",9,@NYK (Tue 7:30PM),2nd,NYK -15.5,223.5,104,4,22,18,36.7,"$8,100",$221
Evan Mobley (CLE - PF/C),2,@MIL (Tue 8:00PM),26th,-CLE 10.5,228.5,119.5,5,14,9,36.6,"$8,800",$240
"Kevin Porter Jr. (MIL - PG)
DTD",3,CLE (Tue 8:00PM),11th,-CLE 10.5,228.5,109,9,28,19,36.1,"$7,800",$216
Chet Holmgren (OKC - PF),2,@ORL (Tue 7:00PM),6th,OKC -9.5,223,116.5,6,18,12,36.0,"$8,500",$236
Kon Knueppel (CHA - SG),3,MIA (Tue 7:00PM),20th,CHA -4,233.5,119,2,37,35,35.6,"$7,200",$202
"Tyler Herro (MIA - PG/SG)
DTD",3,@CHA (Tue 7:00PM),6th,CHA -4,233.5,115,10,26,16,35.1,"$7,900",$225
Jalen Green (PHO - SG/SF),1,@MIN (Tue 8:00PM),6th,MIN -4,221.5,109,3,43,40,35.0,"$6,900",$197
Miles Bridges (CHA - PF),3,MIA (Tue 7:00PM),29th,CHA -4,233.5,119,7,59,52,34.2,"$6,200",$181
Desmond Bane (ORL - SG/SF),1,OKC (Tue 7:00PM),11th,OKC -9.5,223,107,5,27,22,33.3,"$7,800",$234
Rudy Gobert (MIN - C),2,PHO (Tue 8:00PM),14th,MIN -4,221.5,113,6,51,45,33.2,"$6,600",$199
Ryan Rollins (MIL - PG),2,CLE (Tue 8:00PM),11th,-CLE 10.5,228.5,109,12,19,7,33.0,"$8,400",$255
"Norman Powell (MIA - SG/SF)
DTD",3,@CHA (Tue 7:00PM),12th,CHA -4,233.5,115,6,50,44,32.9,"$6,600",$201
Josh Hart (NYK - SG/SF),2,IND (Tue 7:30PM),17th,NYK -15.5,223.5,119.5,8,57,49,31.7,"$6,300",$199
OG Anunoby (NYK - PF),2,IND (Tue 7:30PM),28th,NYK -15.5,223.5,119.5,8,45,37,30.6,"$6,800",$222
Mikal Bridges (NYK - SF),2,IND (Tue 7:30PM),15th,NYK -15.5,223.5,119.5,2,64,62,30.0,"$6,000",$200
Ayo Dosunmu (MIN - SG/SF),2,PHO (Tue 8:00PM),2nd,MIN -4,221.5,113,9,104,95,29.9,"$4,700",$157
Collin Gillespie (PHO - PG),1,@MIN (Tue 8:00PM),24th,MIN -4,221.5,109,14,62,48,29.9,"$6,100",$204
Ausar Thompson (DET - SF),2,@WAS (Tue 7:00PM),29th,DET -17.5,233.5,125.5,3,68,65,29.5,"$5,800",$196
Isaiah Hartenstein (OKC - C),2,@ORL (Tue 7:00PM),10th,OKC -9.5,223,116.5,7,65,58,29.3,"$6,000",$205
Grayson Allen (PHO - SG/SF),1,@MIN (Tue 8:00PM),6th,MIN -4,221.5,109,10,48,38,29.2,"$6,700",$229
Jalen Suggs (ORL - PG),1,OKC (Tue 7:00PM),1st,OKC -9.5,223,107,15,40,25,28.5,"$7,100",$249
"Andrew Nembhard (IND - PG)
DTD",4,@NYK (Tue 7:30PM),2nd,NYK -15.5,223.5,104,16,58,42,28.2,"$6,200",$220
Donte DiVincenzo (MIN - PG),2,PHO (Tue 8:00PM),4th,MIN -4,221.5,113,17,71,54,28.1,"$5,700",$203
Tobias Harris (DET - PF),2,@WAS (Tue 7:00PM),30th,DET -17.5,233.5,125.5,10,74,64,27.9,"$5,600",$201
"Naz Reid (MIN - PF/C)
DTD",2,PHO (Tue 8:00PM),13th,MIN -4,221.5,113,11,76,65,27.5,"$5,500",$200
Jaime Jaquez Jr. (MIA - SF),3,@CHA (Tue 7:00PM),7th,CHA -4,233.5,115,5,56,51,27.4,"$6,400",$234
Jaden McDaniels (MIN - SF),2,PHO (Tue 8:00PM),13th,MIN -4,221.5,113,6,82,76,27.3,"$5,300",$194
"Alex Sarr (WAS - C)
DTD",3,DET (Tue 7:00PM),7th,DET -17.5,233.5,108,9,47,38,26.8,"$6,700",$250
Ajay Mitchell (OKC - PG),2,@ORL (Tue 7:00PM),16th,OKC -9.5,223,116.5,18,91,73,26.8,"$5,000",$187
"Ivica Zubac (IND - C)
DTD",2,@NYK (Tue 7:30PM),2nd,NYK -15.5,223.5,104,10,61,51,26.5,"$6,100",$230
"Cam Thomas (MIL - PG/SG)
DTD",3,CLE (Tue 8:00PM),11th,-CLE 10.5,228.5,109,19,136,117,26.4,"$3,900",$148
Bobby Portis Jr. (MIL - PF/C),2,CLE (Tue 8:00PM),25th,-CLE 10.5,228.5,109,12,70,58,26.2,"$5,700",$218
"Jarace Walker (IND - SF)
DTD",2,@NYK (Tue 7:30PM),11th,NYK -15.5,223.5,104,8,38,30,26.0,"$7,100",$274
Wendell Carter Jr. (ORL - C),1,OKC (Tue 7:00PM),6th,OKC -9.5,223,107,11,77,66,25.8,"$5,500",$213
"Jaylon Tyson (CLE - SF/PF)
DTD",4,@MIL (Tue 8:00PM),19th,-CLE 10.5,228.5,119.5,9,99,90,25.7,"$4,900",$191
Kel'el Ware (MIA - C),3,@CHA (Tue 7:00PM),4th,CHA -4,233.5,115,12,67,55,25.7,"$5,900",$229
"Kyle Kuzma (MIL - SF/PF)
DTD",2,CLE (Tue 8:00PM),10th,-CLE 10.5,228.5,109,10,84,74,24.9,"$5,200",$209
"Myles Turner (MIL - C)
DTD",2,CLE (Tue 8:00PM),13th,-CLE 10.5,228.5,109,13,94,81,24.6,"$5,000",$203
Moussa Diabate (CHA - C),3,MIA (Tue 7:00PM),16th,CHA -4,233.5,119,14,69,55,24.1,"$5,800",$240
Royce O'Neale (PHO - PF),1,@MIN (Tue 8:00PM),4th,MIN -4,221.5,109,13,86,73,23.9,"$5,200",$217
Bilal Coulibaly (WAS - SF/PF),1,DET (Tue 7:00PM),6th,DET -17.5,233.5,108,12,92,80,23.7,"$5,000",$211
Will Riley (WAS - SF/PF),1,DET (Tue 7:00PM),6th,DET -17.5,233.5,108,13,90,77,23.5,"$5,100",$217
Kevin Huerter (DET - SG/SF),2,@WAS (Tue 7:00PM),28th,DET -17.5,233.5,125.5,14,183,169,22.7,"$3,300",$146
Duncan Robinson (DET - SG),2,@WAS (Tue 7:00PM),28th,DET -17.5,233.5,125.5,13,130,117,22.7,"$4,100",$180
Davion Mitchell (MIA - PG),3,@CHA (Tue 7:00PM),6th,CHA -4,233.5,115,21,98,77,22.6,"$4,900",$217
