PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
409262,Miles Bridges,6200,PF,CHA,ORL,166057,957479,-,31,15.1,5.52,2.52,1.98,1.3,0.91,0.32,17.62,20.62,23.14,1.23,8.04,7.22,3.16,6.16,3.37,2.84,13.38,5.14,27.89,27.89,28.64,4.62,3.48%,136,138,THURS,75304,3,409262,21.11,37.04,5.71,5.71,8.64,21.22,25.32,28.64,31.96,37.08,39.38,48.84,
1115110,Grant Williams,3600,PF,CHA,ORL,166057,949273,-,18.5,6.1,3.14,1.55,1.05,0.77,0.61,0.69,7.65,9.24,10.79,1.3,4.69,1.79,0.84,2.8,1.57,1.26,4.59,1.89,15.32,15.32,15.09,4.19,0.46%,136,138,THURS,69933,4,1115110,9.69,21.37,1.42,1.42,2.54,9.63,12.75,15.09,17.69,21.59,23.42,30.18,
1115205,Coby White,4700,PG/SG,CHA,ORL,166057,1138387,-,21,13.9,2.63,2.48,1.99,1.83,0.39,0.37,16.38,16.53,19.01,0.76,5.11,5.56,2.41,5.62,3.65,3.12,11.18,4.4,21.23,21.23,22.51,4.79,8.09%,136,138,THURS,86731,5,1115205,15.65,30.27,8.85,8.85,9.71,15.6,19.7,22.51,25.58,30.7,32.49,42.46,
2439295,LaMelo Ball,8800,PG,CHA,ORL,166057,1257420,,31,22.53,5.31,5.99,3.91,2.42,1.59,0.36,28.52,27.84,33.83,1.95,11.3,9.08,3.66,11.02,4,3.48,20.1,7.57,41.32,41.32,42.92,4.88,12.73%,136,138,THURS,161285,7,2439295,33.2,53.42,9.42,9.42,13.66,32.84,38.52,42.92,46.8,53,55.59,66.97,
2439366,Josh Green,3100,SG/SF,CHA,ORL,166057,1193670,,12.5,2.8,1.28,0.58,0.56,0.5,0.57,0.09,3.38,4.08,4.66,0.66,1.86,0.89,0.4,1.41,0.41,0.32,2.3,0.96,6.69,6.69,6.62,2.14,0.51%,136,138,THURS,92617,8,2439366,2.91,11.25,0,0,0,2.91,5.03,6.62,8.47,11.39,12.71,18.27,
3588157,Moussa Diabate,5600,C,CHA,ORL,166057,1324359,,29,6.75,9.79,2.49,0.01,0.83,0.73,0.88,9.24,16.54,19.03,1.61,12.28,4.4,2.56,0.05,2.49,1.6,4.45,2.57,26.23,26.23,25.68,4.59,3.18%,136,138,THURS,179227,12,3588157,19.43,32.75,4.1,4.1,5.21,19.39,22.91,25.68,28.28,32.98,34.74,42.55,
4878218,Brandon Miller,8100,SF,CHA,ORL,166057,1401381,,32,19.38,5.71,3.17,3.23,2.43,1.41,0.56,22.55,25.09,28.26,1.97,8.88,7.84,3.34,8.65,3.44,3.01,16.49,6.57,34.47,34.47,35.7,4.41,3.05%,136,138,THURS,244988,13,4878218,26.97,45.34,4.53,4.53,5.36,27.09,32.16,35.7,39.5,45.32,47.85,58.49,
8985519,Kon Knueppel,7200,SG,CHA,ORL,166057,1519132,,32,19.97,4.89,2.53,3.49,1.33,0.87,0.39,22.5,24.86,27.39,1.26,7.42,6.53,3.22,7.99,3.5,3.07,14.52,6.71,32.08,32.08,33.52,4.66,8.55%,136,138,THURS,458104,17,8985519,25.04,42.88,10.73,10.73,8.09,24.83,29.8,33.52,37,42.71,45.19,55.37,
8998193,Ryan Kalkbrenner,4000,C,CHA,ORL,166057,1236052,,17.5,5.18,4.63,0.88,0,0.44,0.38,0.99,6.06,9.81,10.69,1.37,5.51,2.77,1.99,0,1.79,1.2,2.77,1.99,15.73,15.73,14.81,3.7,0.22%,136,138,THURS,149525,19,8998193,9.96,20.18,0.38,0.38,0.37,10.04,12.8,14.81,16.82,20.33,21.59,26.61,
8998194,Sion James,3300,SF/PF,CHA,ORL,166057,1232338,,15.5,3.7,2.83,1.31,0.64,0.51,0.27,0.14,5.01,6.53,7.84,0.41,4.14,1.19,0.44,1.78,1.06,0.89,2.97,1.08,9.78,9.78,10.09,3.06,0.37%,136,138,THURS,148709,20,8998194,5.7,15.35,0,0,0.1,5.73,8.18,10.09,12.27,15.54,16.91,22.91,
