"PLAYER (TEAM, POSITION)",REST,OPP (ET),DVP,SPREAD,O/U,"PRED
SCORE","PROJ
RANK","$
RANK","RANK
DIFF","PROJ
PTS",SALARY,CPP
Jalen Johnson (ATL - PF),2,ORL (Mon 7:00PM),5th,ATL -3,231.5,117.5,1,2,1,50.5,"$10,900",$216
"Josh Giddey (CHI - PG)
DTD",3,MEM (Mon 8:00PM),20th,CHI -7,243.5,125.5,2,12,10,46.8,"$9,000",$192
Paolo Banchero (ORL - PF),2,@ATL (Mon 7:00PM),22nd,ATL -3,231.5,114.5,2,5,3,45.8,"$9,600",$210
Jaylen Brown (BOS - SG/SF),2,PHO (Mon 7:30PM),2nd,BOS -8.5,214.5,111.5,1,10,9,43.2,"$9,100",$211
Jayson Tatum (BOS - PF),2,PHO (Mon 7:30PM),12th,BOS -8.5,214.5,111.5,3,16,13,40.7,"$8,600",$211
Zion Williamson (NOR - PF),3,DAL (Mon 8:00PM),17th,NOR -8.5,240.5,124.5,4,32,28,40.2,"$7,500",$186
Deni Avdija (POR - SF/PF),1,@BKN (Mon 7:30PM),23rd,POR -10.5,221.5,116,3,14,11,40.1,"$8,800",$220
Trey Murphy III (NOR - PG/SG),3,DAL (Mon 8:00PM),27th,NOR -8.5,240.5,124.5,3,28,25,39.9,"$7,600",$190
Cooper Flagg (DAL - PG),1,@NOR (Mon 8:00PM),17th,NOR -8.5,240.5,116,4,15,11,39.8,"$8,700",$218
"Dejounte Murray (NOR - PG)
DTD",3,DAL (Mon 8:00PM),27th,NOR -8.5,240.5,124.5,6,26,20,38.9,"$7,700",$198
Devin Booker (PHO - PG/SG),3,@BOS (Mon 7:30PM),7th,BOS -8.5,214.5,103,7,8,1,38.7,"$9,200",$238
Desmond Bane (ORL - SG/SF),2,@ATL (Mon 7:00PM),15th,ATL -3,231.5,114.5,2,20,18,38.0,"$8,100",$213
Brandin Podziemski (GSW - PG/SG),1,@WAS (Mon 7:00PM),25th,GSW -7.5,231.5,119.5,9,18,9,37.7,"$8,300",$220
Donovan Clingan (POR - C),1,@BKN (Mon 7:30PM),20th,POR -10.5,221.5,116,3,24,21,36.8,"$7,800",$212
Jalen Suggs (ORL - PG),2,@ATL (Mon 7:00PM),23rd,ATL -3,231.5,114.5,10,39,29,36.5,"$7,100",$195
Derrick White (BOS - PG),2,PHO (Mon 7:30PM),5th,BOS -8.5,214.5,111.5,11,23,12,34.9,"$7,800",$224
"Matas Buzelis (CHI - PF)
DTD",3,MEM (Mon 8:00PM),21st,CHI -7,243.5,125.5,6,25,19,34.3,"$7,700",$225
"Jalen Smith (CHI - C)
DTD",4,MEM (Mon 8:00PM),22nd,CHI -7,243.5,125.5,4,84,80,33.4,"$5,200",$156
Nickeil Alexander-Walker (ATL - PG/SG),2,ORL (Mon 7:00PM),19th,ATL -3,231.5,117.5,14,36,22,33.2,"$7,300",$220
"Draymond Green (GSW - PF/C)
DTD",6,@WAS (Mon 7:00PM),30th,GSW -7.5,231.5,119.5,7,75,68,33.1,"$5,600",$169
Onyeka Okongwu (ATL - C),2,ORL (Mon 7:00PM),10th,ATL -3,231.5,117.5,5,31,26,32.8,"$7,500",$229
Jalen Green (PHO - SG/SF),3,@BOS (Mon 7:30PM),1st,BOS -8.5,214.5,103,4,42,38,32.1,"$6,900",$215
Gui Santos (GSW - PF),1,@WAS (Mon 7:00PM),30th,GSW -7.5,231.5,119.5,8,37,29,32.0,"$7,300",$228
Trae Young (WAS - PG),2,GSW (Mon 7:00PM),16th,GSW -7.5,231.5,112,15,22,7,31.9,"$7,900",$247
Derik Queen (NOR - PF),3,DAL (Mon 8:00PM),17th,NOR -8.5,240.5,124.5,9,114,105,31.5,"$4,600",$146
P.J. Washington Jr. (DAL - PF),1,@NOR (Mon 8:00PM),10th,NOR -8.5,240.5,116,11,68,57,30.4,"$5,800",$191
Saddiq Bey (NOR - SF/PF),3,DAL (Mon 8:00PM),16th,NOR -8.5,240.5,124.5,4,50,46,30.4,"$6,500",$213
Wendell Carter Jr. (ORL - C),2,@ATL (Mon 7:00PM),17th,ATL -3,231.5,114.5,6,78,72,30.2,"$5,500",$182
Kristaps Porzingis (GSW - PF/C),3,@WAS (Mon 7:00PM),30th,GSW -7.5,231.5,119.5,12,79,67,29.9,"$5,500",$184
Dyson Daniels (ATL - SG/SF),2,ORL (Mon 7:00PM),6th,ATL -3,231.5,117.5,6,40,34,29.9,"$7,000",$235
"Jordan Poole (NOR - PG/SG)
DTD",16,DAL (Mon 8:00PM),27th,NOR -8.5,240.5,124.5,16,164,148,29.8,"$3,500",$117
"Nic Claxton (BKN - C)
DTD",4,POR (Mon 7:30PM),27th,POR -10.5,221.5,105.5,7,73,66,29.4,"$5,700",$194
Jrue Holiday (POR - PG),1,@BKN (Mon 7:30PM),9th,POR -10.5,221.5,116,17,35,18,29.3,"$7,400",$253
Neemias Queta (BOS - C),2,PHO (Mon 7:30PM),15th,BOS -8.5,214.5,111.5,8,54,46,29.0,"$6,400",$220
"Cedric Coward (MEM - SG)
DTD",3,@CHI (Mon 8:00PM),27th,CHI -7,243.5,118.5,7,89,82,28.9,"$5,100",$177
CJ McCollum (ATL - PG/SG),2,ORL (Mon 7:00PM),19th,ATL -3,231.5,117.5,18,45,27,28.6,"$6,800",$238
Payton Pritchard (BOS - PG/SG),2,PHO (Mon 7:30PM),5th,BOS -8.5,214.5,111.5,19,56,37,28.6,"$6,300",$220
Naji Marshall (DAL - SG/SF),1,@NOR (Mon 8:00PM),29th,NOR -8.5,240.5,116,8,65,57,27.5,"$5,900",$214
Tre Jones (CHI - PG/SG),3,MEM (Mon 8:00PM),20th,CHI -7,243.5,125.5,20,70,50,27.4,"$5,800",$211
Danny Wolf (BKN - PF/C),2,POR (Mon 7:30PM),16th,POR -10.5,221.5,105.5,13,64,51,27.4,"$5,900",$215
"Cam Spencer (MEM - PG/SF)
DTD",3,@CHI (Mon 8:00PM),18th,CHI -7,243.5,118.5,21,87,66,26.7,"$5,100",$191
Jerami Grant (POR - PF),1,@BKN (Mon 7:30PM),20th,POR -10.5,221.5,116,14,51,37,26.5,"$6,500",$245
Jeremiah Fears (NOR - PG/SG),3,DAL (Mon 8:00PM),27th,NOR -8.5,240.5,124.5,22,124,102,26.3,"$4,400",$167
Collin Gillespie (PHO - PG),3,@BOS (Mon 7:30PM),7th,BOS -8.5,214.5,103,24,57,33,25.7,"$6,200",$242
Tristan Vukcevic (WAS - C),2,GSW (Mon 7:00PM),21st,GSW -7.5,231.5,112,9,101,92,25.5,"$4,800",$188
Brandon Williams (DAL - PG/SG),1,@NOR (Mon 8:00PM),17th,NOR -8.5,240.5,116,25,86,61,25.4,"$5,200",$204
Will Riley (WAS - SF/PF),2,GSW (Mon 7:00PM),3rd,GSW -7.5,231.5,112,6,81,75,25.4,"$5,300",$209
Grayson Allen (PHO - SG/SF),3,@BOS (Mon 7:30PM),1st,BOS -8.5,214.5,103,9,48,39,25.1,"$6,700",$267
"De'Anthony Melton (GSW - SG/SF)
DTD",3,@WAS (Mon 7:00PM),28th,GSW -7.5,231.5,119.5,11,62,51,24.8,"$6,000",$242
Toumani Camara (POR - SG/SF),1,@BKN (Mon 7:30PM),21st,POR -10.5,221.5,116,10,58,48,24.8,"$6,000",$242
"Al Horford (GSW - PF/C)
DTD",3,@WAS (Mon 7:00PM),30th,GSW -7.5,231.5,119.5,16,61,45,24.7,"$6,000",$243
