Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Shai Gilgeous-Alexander (42312246),Shai Gilgeous-Alexander,42312246,CPT,18000,OKC@ORL 03/17/2026 07:00PM ET,OKC,51.58
PF,Paolo Banchero (42312247),Paolo Banchero,42312247,CPT,15900,OKC@ORL 03/17/2026 07:00PM ET,ORL,42.78
PF,Chet Holmgren (42312248),Chet Holmgren,42312248,CPT,14400,OKC@ORL 03/17/2026 07:00PM ET,OKC,35.38
SF,Jalen Williams (42312249),Jalen Williams,42312249,CPT,13800,OKC@ORL 03/17/2026 07:00PM ET,OKC,34.16
SG/SF,Desmond Bane (42312250),Desmond Bane,42312250,CPT,12900,OKC@ORL 03/17/2026 07:00PM ET,ORL,35.07
SF,Franz Wagner (42312277),Franz Wagner,42312277,CPT,12300,OKC@ORL 03/17/2026 07:00PM ET,ORL,36.56
PG,Shai Gilgeous-Alexander (42312211),Shai Gilgeous-Alexander,42312211,UTIL,12000,OKC@ORL 03/17/2026 07:00PM ET,OKC,51.58
PG,Jalen Suggs (42312251),Jalen Suggs,42312251,CPT,12000,OKC@ORL 03/17/2026 07:00PM ET,ORL,31.83
PG/SG,Anthony Black (42312278),Anthony Black,42312278,CPT,11100,OKC@ORL 03/17/2026 07:00PM ET,ORL,29.88
PF,Paolo Banchero (42312212),Paolo Banchero,42312212,UTIL,10600,OKC@ORL 03/17/2026 07:00PM ET,ORL,42.78
C,Isaiah Hartenstein (42312252),Isaiah Hartenstein,42312252,CPT,9900,OKC@ORL 03/17/2026 07:00PM ET,OKC,29.88
PF,Chet Holmgren (42312213),Chet Holmgren,42312213,UTIL,9600,OKC@ORL 03/17/2026 07:00PM ET,OKC,35.38
PF/C,Jaylin Williams (42312253),Jaylin Williams,42312253,CPT,9600,OKC@ORL 03/17/2026 07:00PM ET,OKC,20.84
SF,Jalen Williams (42312214),Jalen Williams,42312214,UTIL,9200,OKC@ORL 03/17/2026 07:00PM ET,OKC,34.16
C,Wendell Carter Jr. (42312254),Wendell Carter Jr.,42312254,CPT,9000,OKC@ORL 03/17/2026 07:00PM ET,ORL,27.40
SG/SF,Desmond Bane (42312215),Desmond Bane,42312215,UTIL,8600,OKC@ORL 03/17/2026 07:00PM ET,ORL,35.07
SF/PF,Tristan da Silva (42312255),Tristan da Silva,42312255,CPT,8400,OKC@ORL 03/17/2026 07:00PM ET,ORL,19.45
SF,Franz Wagner (42312242),Franz Wagner,42312242,UTIL,8200,OKC@ORL 03/17/2026 07:00PM ET,ORL,36.56
PG,Ajay Mitchell (42312256),Ajay Mitchell,42312256,CPT,8100,OKC@ORL 03/17/2026 07:00PM ET,OKC,27.33
PG,Jalen Suggs (42312216),Jalen Suggs,42312216,UTIL,8000,OKC@ORL 03/17/2026 07:00PM ET,ORL,31.83
SG/SF,Cason Wallace (42312257),Cason Wallace,42312257,CPT,7500,OKC@ORL 03/17/2026 07:00PM ET,OKC,21.67
PG/SG,Anthony Black (42312243),Anthony Black,42312243,UTIL,7400,OKC@ORL 03/17/2026 07:00PM ET,ORL,29.88
SG,Isaiah Joe (42312258),Isaiah Joe,42312258,CPT,7200,OKC@ORL 03/17/2026 07:00PM ET,OKC,19.22
C,Isaiah Hartenstein (42312217),Isaiah Hartenstein,42312217,UTIL,6600,OKC@ORL 03/17/2026 07:00PM ET,OKC,29.88
