"PLAYER (TEAM, POSITION)",REST,OPP (ET),DVP,SPREAD,O/U,"PRED
SCORE","PROJ
RANK","$
RANK","RANK
DIFF","PROJ
PTS",SALARY,CPP
Luka Doncic (LAL - PG),2,@ORL (Sat 7:00PM),22nd,LAL -3,232.5,118,1,1,0,61.4,"$12,300",$200
"Victor Wembanyama (SAS - C)
DTD",2,IND (Sat 8:00PM),23rd,SAS -17.5,235.5,126.5,2,2,0,57.6,"$11,200",$195
"Kawhi Leonard (LAC - SG/SF)
DTD",3,@DAL (Sat 8:30PM),23rd,LAC -7,234.5,121,3,4,1,48.1,"$9,700",$202
"Donovan Mitchell (CLE - SG)
DTD",4,@NOR (Sat 7:00PM),29th,-CLE 4.5,236.5,120.5,4,5,1,47.0,"$9,500",$202
James Harden (CLE - PG),2,@NOR (Sat 7:00PM),15th,-CLE 4.5,236.5,120.5,5,6,1,46.8,"$9,400",$201
Jalen Johnson (ATL - PF),1,GSW (Sat 8:00PM),17th,ATL -10.5,229.5,120,6,3,-3,46.6,"$10,700",$230
Kevin Durant (HOU - SF),1,MIA (Sat 8:00PM),20th,HOU -3,228.5,116,7,11,4,46.1,"$8,800",$191
Alperen Sengun (HOU - C),1,MIA (Sat 8:00PM),15th,HOU -3,228.5,116,8,13,5,45.4,"$8,600",$190
"LaMelo Ball (CHA - PG)
DTD",2,MEM (Sat 7:00PM),18th,CHA -17.5,233.5,125.5,9,12,3,44.4,"$8,600",$194
Evan Mobley (CLE - PF/C),2,@NOR (Sat 7:00PM),12th,-CLE 4.5,236.5,120.5,10,8,-2,43.3,"$9,200",$212
Paolo Banchero (ORL - PF),2,LAL (Sat 7:00PM),11th,LAL -3,232.5,115,11,9,-2,43.3,"$9,100",$210
Amen Thompson (HOU - PG),1,MIA (Sat 8:00PM),25th,HOU -3,228.5,116,12,16,4,42.4,"$8,200",$194
LeBron James (LAL - PF),2,@ORL (Sat 7:00PM),5th,LAL -3,232.5,118,13,19,6,41.4,"$8,000",$193
Trey Murphy III (NOR - PG/SG),2,CLE (Sat 7:00PM),13th,-CLE 4.5,236.5,116,14,20,6,40.3,"$8,000",$199
"Austin Reaves (LAL - PG/SG)
DTD",2,@ORL (Sat 7:00PM),22nd,LAL -3,232.5,118,15,21,6,39.8,"$7,900",$198
"Bam Adebayo (MIA - PF/C)
DTD",2,@HOU (Sat 8:00PM),1st,HOU -3,228.5,113,16,10,-6,39.4,"$8,900",$226
Zion Williamson (NOR - PF),2,CLE (Sat 7:00PM),24th,-CLE 4.5,236.5,116,17,24,7,39.1,"$7,700",$197
"Darius Garland (LAC - PG)
DTD",3,@DAL (Sat 8:30PM),27th,LAC -7,234.5,121,18,23,5,37.8,"$7,800",$206
De'Aaron Fox (SAS - PG),2,IND (Sat 8:00PM),26th,SAS -17.5,235.5,126.5,19,30,11,36.8,"$7,300",$198
"Dejounte Murray (NOR - PG)
DTD",3,CLE (Sat 7:00PM),13th,-CLE 4.5,236.5,116,20,27,7,36.6,"$7,500",$205
Cooper Flagg (DAL - PG/SF),3,LAC (Sat 8:30PM),16th,LAC -7,234.5,114,21,14,-7,36.5,"$8,500",$233
Kon Knueppel (CHA - SG),2,MEM (Sat 7:00PM),24th,CHA -17.5,233.5,125.5,22,36,14,35.4,"$7,000",$198
"Brandon Miller (CHA - SF)
DTD",2,MEM (Sat 7:00PM),26th,CHA -17.5,233.5,125.5,23,22,-1,34.5,"$7,900",$229
Desmond Bane (ORL - SG/SF),2,LAL (Sat 7:00PM),7th,LAL -3,232.5,115,24,32,8,34.0,"$7,300",$215
"Tyler Herro (MIA - PG/SG)
DTD",2,@HOU (Sat 8:00PM),5th,HOU -3,228.5,113,25,18,-7,33.9,"$8,100",$239
Saddiq Bey (NOR - SF/PF),2,CLE (Sat 7:00PM),10th,-CLE 4.5,236.5,116,26,38,12,33.5,"$6,800",$203
Jabari Smith Jr. (HOU - PF),1,MIA (Sat 8:00PM),29th,HOU -3,228.5,116,27,46,19,33.5,"$6,400",$191
"Stephon Castle (SAS - SG)
DTD",4,IND (Sat 8:00PM),18th,SAS -17.5,235.5,126.5,28,25,-3,33.5,"$7,700",$230
Nickeil Alexander-Walker (ATL - PG/SG),1,GSW (Sat 8:00PM),17th,ATL -10.5,229.5,120,29,33,4,33.2,"$7,200",$217
Miles Bridges (CHA - PF),2,MEM (Sat 7:00PM),19th,CHA -17.5,233.5,125.5,30,49,19,32.3,"$6,200",$192
"Norman Powell (MIA - SG/SF)
DTD",2,@HOU (Sat 8:00PM),3rd,HOU -3,228.5,113,31,39,8,32.2,"$6,700",$208
Onyeka Okongwu (ATL - C),1,GSW (Sat 8:00PM),21st,ATL -10.5,229.5,120,32,35,3,32.1,"$7,000",$218
"Pascal Siakam (IND - PF)
DTD",13,@SAS (Sat 8:00PM),7th,SAS -17.5,235.5,109,33,17,-16,32.0,"$8,100",$253
Dyson Daniels (ATL - SG/SF),1,GSW (Sat 8:00PM),13th,ATL -10.5,229.5,120,34,37,3,30.9,"$6,900",$223
Gui Santos (GSW - PF),1,@ATL (Sat 8:00PM),21st,ATL -10.5,229.5,109.5,35,44,9,30.7,"$6,500",$212
Brandin Podziemski (GSW - PG/SG),1,@ATL (Sat 8:00PM),20th,ATL -10.5,229.5,109.5,36,29,-7,30.4,"$7,400",$244
Jalen Suggs (ORL - PG),2,LAL (Sat 7:00PM),14th,LAL -3,232.5,115,37,40,3,29.6,"$6,700",$226
CJ McCollum (ATL - PG/SG),1,GSW (Sat 8:00PM),17th,ATL -10.5,229.5,120,38,47,9,29.4,"$6,300",$215
John Collins (LAC - PF/C),2,@DAL (Sat 8:30PM),23rd,LAC -7,234.5,121,39,57,18,29.1,"$5,900",$203
Ty Jerome (MEM - PG),1,@CHA (Sat 7:00PM),6th,CHA -17.5,233.5,108,40,34,-6,28.6,"$7,000",$245
"Jarace Walker (IND - SF)
DTD",3,@SAS (Sat 8:00PM),11th,SAS -17.5,235.5,109,41,42,1,28.0,"$6,600",$236
P.J. Washington Jr. (DAL - PF/C),3,LAC (Sat 8:30PM),4th,LAC -7,234.5,114,42,53,11,27.9,"$6,100",$218
"Kel'el Ware (MIA - C)
DTD",2,@HOU (Sat 8:00PM),11th,HOU -3,228.5,113,43,52,9,27.7,"$6,200",$224
Reed Sheppard (HOU - PG/SG),1,MIA (Sat 8:00PM),25th,HOU -3,228.5,116,44,51,7,27.4,"$6,200",$226
"Moussa Diabate (CHA - C)
DTD",2,MEM (Sat 7:00PM),22nd,CHA -17.5,233.5,125.5,45,64,19,27.3,"$5,400",$198
Tari Eason (HOU - SG),1,MIA (Sat 8:00PM),19th,HOU -3,228.5,116,46,60,14,27.2,"$5,700",$209
Draymond Green (GSW - PF/C),1,@ATL (Sat 8:00PM),21st,ATL -10.5,229.5,109.5,47,61,14,27.1,"$5,500",$203
"Wendell Carter Jr. (ORL - C)
DTD",4,LAL (Sat 7:00PM),5th,LAL -3,232.5,115,48,68,20,27.0,"$5,300",$196
Gary Payton II (GSW - SG/SF),1,@ATL (Sat 8:00PM),14th,ATL -10.5,229.5,109.5,49,89,40,26.6,"$4,600",$173
Deandre Ayton (LAL - C),2,@ORL (Sat 7:00PM),9th,LAL -3,232.5,118,50,73,23,26.6,"$5,000",$188
Devin Vassell (SAS - SF),2,IND (Sat 8:00PM),16th,SAS -17.5,235.5,126.5,51,69,18,26.2,"$5,200",$199
Derrick Jones Jr. (LAC - SF/PF),2,@DAL (Sat 8:30PM),17th,LAC -7,234.5,121,52,67,15,25.9,"$5,300",$205
"Cedric Coward (MEM - SG)
DTD",3,@CHA (Sat 7:00PM),15th,CHA -17.5,233.5,108,53,75,22,25.9,"$5,000",$193
Naji Marshall (DAL - SG/SF),3,LAC (Sat 8:30PM),17th,LAC -7,234.5,114,54,50,-4,25.8,"$6,200",$240
De'Anthony Melton (GSW - SG/SF),1,@ATL (Sat 8:00PM),14th,ATL -10.5,229.5,109.5,55,58,3,25.6,"$5,900",$231
Brook Lopez (LAC - C),2,@DAL (Sat 8:30PM),29th,LAC -7,234.5,121,56,88,32,25.4,"$4,600",$181
Julian Champagnie (SAS - SF/PF),2,IND (Sat 8:00PM),16th,SAS -17.5,235.5,126.5,57,79,22,24.8,"$4,800",$194
"Andrew Nembhard (IND - PG)
DTD",8,@SAS (Sat 8:00PM),10th,SAS -17.5,235.5,109,58,41,-17,24.3,"$6,600",$271
Davion Mitchell (MIA - PG),2,@HOU (Sat 8:00PM),5th,HOU -3,228.5,113,59,83,24,24.2,"$4,700",$194
"Dylan Harper (SAS - PG/SG)
DTD",2,IND (Sat 8:00PM),26th,SAS -17.5,235.5,126.5,60,98,38,24.2,"$4,500",$186
"Jay Huff (IND - C)
DTD",3,@SAS (Sat 8:00PM),19th,SAS -17.5,235.5,109,61,43,-18,24.1,"$6,500",$270
Jordan Miller (LAC - PG/SG),2,@DAL (Sat 8:30PM),27th,LAC -7,234.5,121,62,62,0,24.1,"$5,500",$228
Cam Spencer (MEM - PG/SF),1,@CHA (Sat 7:00PM),6th,CHA -17.5,233.5,108,63,97,34,24.1,"$4,500",$187
"GG Jackson II (MEM - PF)
DTD",3,@CHA (Sat 7:00PM),14th,CHA -17.5,233.5,108,64,65,1,24.0,"$5,400",$225
Keldon Johnson (SAS - SG/SF),2,IND (Sat 8:00PM),18th,SAS -17.5,235.5,126.5,65,109,44,23.9,"$4,100",$171
"Pelle Larsson (MIA - SG/SF)
DTD",2,@HOU (Sat 8:00PM),3rd,HOU -3,228.5,113,66,74,8,23.9,"$5,000",$209
Max Christie (DAL - SG),3,LAC (Sat 8:30PM),17th,LAC -7,234.5,114,67,95,28,23.1,"$4,500",$195
Sam Merrill (CLE - SG),2,@NOR (Sat 7:00PM),29th,-CLE 4.5,236.5,120.5,68,102,34,22.8,"$4,300",$189
Tristan da Silva (ORL - SF/PF),2,LAL (Sat 7:00PM),23rd,LAL -3,232.5,115,69,85,16,22.8,"$4,700",$206
"Aaron Nesmith (IND - SG)
DTD",3,@SAS (Sat 8:00PM),4th,SAS -17.5,235.5,109,70,63,-7,22.6,"$5,400",$238
"Coby White (CHA - PG/SG)
DTD",2,MEM (Sat 7:00PM),18th,CHA -17.5,233.5,125.5,71,90,19,22.1,"$4,600",$208
Kris Dunn (LAC - PG/SG),2,@DAL (Sat 8:30PM),27th,LAC -7,234.5,121,72,66,-6,21.9,"$5,300",$241
Marcus Smart (LAL - SG/SF),2,@ORL (Sat 7:00PM),8th,LAL -3,232.5,118,73,93,20,21.6,"$4,500",$209
"Daniel Gafford (DAL - C)
DTD",3,LAC (Sat 8:30PM),14th,LAC -7,234.5,114,74,76,2,21.6,"$4,900",$227
Yves Missi (NOR - C),2,CLE (Sat 7:00PM),12th,-CLE 4.5,236.5,116,75,112,37,21.6,"$4,100",$190
Will Richard (GSW - SG/SF),1,@ATL (Sat 8:00PM),14th,ATL -10.5,229.5,109.5,76,113,37,21.6,"$4,100",$190
"Quinten Post (GSW - C)
DTD",3,@ATL (Sat 8:00PM),17th,ATL -10.5,229.5,109.5,77,128,51,21.5,"$3,700",$172
Herbert Jones (NOR - SF/PF),2,CLE (Sat 7:00PM),10th,-CLE 4.5,236.5,116,78,82,4,21.3,"$4,700",$220
"Jonathan Kuminga (ATL - SF/PF)
DTD",3,GSW (Sat 8:00PM),3rd,ATL -10.5,229.5,120,79,71,-8,21.1,"$5,100",$242
Olivier-Maxence Prosper (MEM - C),1,@CHA (Sat 7:00PM),1st,CHA -17.5,233.5,108,80,80,0,20.7,"$4,800",$232
"T.J. McConnell (IND - PG)
DTD",3,@SAS (Sat 8:00PM),10th,SAS -17.5,235.5,109,81,99,18,20.6,"$4,400",$213
Pat Spencer (GSW - PG),1,@ATL (Sat 8:00PM),20th,ATL -10.5,229.5,109.5,82,106,24,20.5,"$4,200",$205
Ryan Nembhard (DAL - PG),3,LAC (Sat 8:30PM),16th,LAC -7,234.5,114,83,120,37,20.5,"$3,900",$190
Keon Ellis (CLE - SF/PF),2,@NOR (Sat 7:00PM),25th,-CLE 4.5,236.5,120.5,84,105,21,19.9,"$4,200",$212
Taylor Hendricks (MEM - PF/C),1,@CHA (Sat 7:00PM),14th,CHA -17.5,233.5,108,85,78,-7,19.8,"$4,900",$247
Javon Small (MEM - PG),1,@CHA (Sat 7:00PM),6th,CHA -17.5,233.5,108,86,72,-14,19.7,"$5,100",$259
Khris Middleton (DAL - SF/PF),3,LAC (Sat 8:30PM),6th,LAC -7,234.5,114,87,100,13,19.6,"$4,300",$219
Karlo Matkovic (NOR - PF/C),2,CLE (Sat 7:00PM),24th,-CLE 4.5,236.5,116,88,125,37,19.3,"$3,700",$191
