PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
17121,"CJ McCollum",,,ATL,PHI,162845,522878,-,29,17.36,3.03,3.68,2.45,1.55,0.77,0.57,21.04,20.39,24.07,1.34,6.71,8.76,3.9,6.34,2.86,2.21,15.1,6.35,28.99,28.99,29.8,21.86,38.51,5.73,5.73,0,21.9,25.98,29.8,33.37,38.71,40.75,50.69,5.56%,135,128,SAT,12451,1,17121,
574538,"Gabe Vincent",,,ATL,PHI,162845,851253,-,3.5,1,0.19,0.39,0.26,0.07,0.13,0.02,1.39,1.19,1.58,0.15,0.58,0.25,0.09,0.76,0.06,0.05,1.01,0.35,2.19,2.19,2.22,0.37,4.48,0,0,0,0,1.85,2.22,4.44,7.4,8.14,14.06,0.46%,135,128,SAT,73848,3,574538,
1115445,"Nickeil Alexander-Walker",,,ATL,PHI,162845,1067668,-,33,17.44,2.9,3.77,2.76,1.77,0.95,0.53,21.21,20.34,24.11,1.48,6.67,7.28,3.12,7.27,3.38,2.91,14.55,5.88,29.25,29.25,30.18,22.17,39.16,1.84,1.84,0,21.88,26.66,30.18,33.45,38.98,41.25,50.55,2.40%,135,128,SAT,69666,4,1115445,
2439277,"Onyeka Okongwu",,,ATL,PHI,162845,1185367,,31,15.45,8.16,3.08,1.6,1.66,0.9,0.95,18.53,23.61,26.69,1.85,11.24,8.01,4.16,4.3,3.04,2.32,12.31,5.76,33.75,33.75,34.22,26.12,43.17,6.42,6.42,0,26.23,30.72,34.22,37.72,42.96,44.96,54.7,3.50%,135,128,SAT,91845,5,2439277,
3005263,"Jalen Johnson",,,ATL,PHI,162845,1230356,,35,22.04,9.63,6.87,1.65,3.12,1.29,0.5,28.91,31.67,38.54,1.79,16.5,13.3,6.3,4.89,5.87,4.49,18.19,7.95,46.15,46.15,47.86,38.11,58.32,8.54,8.54,0,38.02,43.87,47.86,51.85,58.23,60.36,71.52,21.08%,135,128,SAT,165214,6,3005263,
3005340,"Corey Kispert",,,ATL,PHI,162845,1077554,,15,6.9,1.84,1.26,1.25,0.61,0.27,0.21,8.16,8.74,10,0.48,3.1,2.31,1.1,3.29,1.19,0.95,5.6,2.35,11.83,11.83,12.37,7.1,18.57,0.22,0.22,0,7.11,10,12.37,14.74,18.42,20,27.37,0.51%,135,128,SAT,72585,7,3005340,
3007111,"Jonathan Kuminga",,,ATL,PHI,162845,1271708,,25,13.41,6.16,2.75,1.03,1.98,1.28,0.32,16.16,19.57,22.32,1.6,8.91,7.22,3.46,3.08,4.72,3.4,10.3,4.49,27.75,27.75,28.03,20.75,36.03,9.11,9.11,0,20.83,24.69,28.03,31.12,35.74,37.8,46.55,12.98%,135,128,SAT,165213,8,3007111,
3012652,"Jock Landale",,,ATL,PHI,162845,850308,,16.5,7.98,4.22,1.33,0.68,0.47,0.38,0.52,9.31,12.2,13.53,0.9,5.55,4.51,2.32,1.72,1.85,1.28,6.23,3,17.27,17.27,17.16,11.56,23.56,1.48,1.48,0,11.44,14.56,17.16,19.5,23.4,25.22,32.76,0.22%,135,128,SAT,74198,9,3012652,
3587993,"Dyson Daniels",,,ATL,PHI,162845,1357745,,30,9.26,6.09,5.43,0.38,1.36,1.6,0.39,14.69,15.35,20.78,1.99,11.52,7.14,3.64,1.49,1.41,0.84,8.63,4.02,29.32,29.32,28.57,21.62,36.28,5.55,5.55,0,21.68,25.51,28.57,31.38,35.71,37.75,46.94,7.25%,135,128,SAT,195261,12,3587993,
4878163,"Mouhamed Gueye",,,ATL,PHI,162845,1325101,,1,0.21,0.24,0.04,0.02,0.02,0.06,0.03,0.25,0.45,0.49,0.09,0.28,0.11,0.05,0.07,0.05,0.04,0.18,0.07,0.81,0.81,0.75,0.75,0.75,0,0,0,0.32,0.54,0.75,0.96,1.29,1.37,1.43,0.05%,135,128,SAT,180180,14,4878163,
