PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6500,PG/SG,ATL,BKN,164222,522878,-,28,17.52,3.52,3.59,2.47,1.62,0.66,0.48,21.11,21.04,24.63,1.14,7.11,8.86,3.92,6.41,2.94,2.25,15.27,6.39,28.93,28.93,30.02,4.62,7.12%,135,126,THURS,12451,1,17121,22.01,38.8,5.97,5.97,6.86,22.07,26.43,30.02,33.61,39,41.57,50.29,
574538,"Gabe Vincent",3100,PG,ATL,BKN,164222,851253,-,6,1.87,0.37,0.64,0.48,0.15,0.16,0.02,2.51,2.24,2.88,0.18,1.01,0.46,0.17,1.4,0.1,0.08,1.86,0.65,3.66,3.66,3.82,1.23,0.31%,135,126,THURS,73848,3,574538,1.02,7.63,0,0,0,0.82,2.18,3.82,5.18,7.64,9,13.65,
1115445,"Nickeil Alexander-Walker",7300,PG/SG,ATL,BKN,164222,1067668,-,32,18.28,2.44,3.68,2.87,1.79,1.41,0.27,21.96,20.72,24.4,1.68,6.12,7.46,3.33,7.47,3.48,3.01,14.93,6.2,29.98,29.98,30.75,4.21,0.29%,135,126,THURS,69666,4,1115445,22.54,39.78,2.69,2.69,3.38,22.55,27.16,30.75,34.08,39.72,42.02,52.28,
2439277,"Onyeka Okongwu",7600,C,ATL,BKN,164222,1185367,,29,14.39,7.66,2.79,1.49,1.32,1.39,1.66,17.18,22.05,24.84,3.05,10.45,7.39,3.89,3.96,2.8,2.13,11.35,5.38,35.6,35.6,34.58,4.55,1.21%,135,126,THURS,91845,5,2439277,26.36,43.58,4.63,4.63,5.95,26.25,31.05,34.58,38.11,43.16,45.94,55.53,
3005263,"Jalen Johnson",10800,PF,ATL,BKN,164222,1230356,,34.5,23.3,9.47,6.73,1.73,2.77,1.93,0.54,30.03,32.77,39.5,2.47,16.2,13.82,6.64,5.08,6.25,4.83,18.9,8.37,49.4,49.4,50.39,4.67,4.46%,135,126,THURS,165214,6,3005263,40.58,60.93,6.01,6.01,9.05,40.73,46.21,50.39,54.57,61.36,63.97,75.45,
3005340,"Corey Kispert",3300,SG/SF,ATL,BKN,164222,1077554,,16,6.45,1.72,1.27,1.17,0.43,0.04,0.14,7.72,8.17,9.44,0.18,2.99,2.18,1.04,3.11,1.09,0.87,5.29,2.21,10.53,10.53,11.24,3.41,0.05%,135,126,THURS,72585,7,3005340,6.35,17.07,0.22,0.22,0.51,6.53,9.15,11.24,13.59,17.51,19.08,26.14,
3007111,"Jonathan Kuminga",6000,SF/PF,ATL,BKN,164222,1271708,Q,21,12.21,4.99,2.38,0.95,1.69,0.97,0.32,14.59,17.2,19.58,1.29,7.37,6.6,3.16,2.82,4.22,3.04,9.42,4.11,23.95,23.95,24.25,4.04,0.60%,135,126,THURS,165213,8,3007111,17.58,31.7,1.14,1.14,2.18,17.61,21.19,24.25,27.06,31.65,33.69,42.12,
3012652,"Jock Landale",3700,C,ATL,BKN,164222,850308,,17.5,7.43,3.57,1.24,0.65,0.38,0.36,0.43,8.67,11,12.24,0.79,4.81,4.25,2.14,1.67,1.75,1.21,5.92,2.79,15.56,15.56,15.47,4.18,0.05%,135,126,THURS,74198,9,3012652,10.17,21.52,0.66,0.66,2.11,10.14,13.19,15.47,17.75,21.56,23.08,29.42,
3587993,"Dyson Daniels",6800,SG/SF,ATL,BKN,164222,1357745,Q,32,10.31,6.75,5.75,0.42,1.03,2.04,0.61,16.06,17.06,22.81,2.65,12.5,7.98,4.05,1.64,1.56,0.94,9.62,4.47,33.96,33.96,32.52,4.78,5.33%,135,126,THURS,195261,12,3587993,25.12,40.69,7.97,7.97,7.02,25.35,29.45,32.52,35.85,41.23,43.27,53.77,
4388493,"Keaton Wallace",3000,PG,ATL,BKN,164222,1063166,,1,0.39,0.05,0.09,0.08,0.05,0.01,0,0.48,0.44,0.53,0.01,0.14,0.17,0.07,0.22,0.03,0.02,0.39,0.15,0.57,0.57,0.62,0.21,0.43%,135,126,THURS,245561,13,4388493,0.62,0.62,0,0,0,0.27,0.44,0.62,0.8,1.06,1.13,1.18,
4878163,"Mouhamed Gueye",3200,PF/C,ATL,BKN,164222,1325101,,2,0.51,0.57,0.05,0.06,0.04,0.08,0.06,0.56,1.08,1.13,0.14,0.62,0.26,0.12,0.21,0.13,0.09,0.47,0.18,1.65,1.65,1.59,0.5,0.34%,135,126,THURS,180180,14,4878163,0.23,3.37,0,0,0,0,0,1.59,2.54,4.13,5.09,8.59,
6412725,"Zaccharie Risacher",3800,SF,ATL,BKN,164222,1432544,,20,6.26,3.83,0.89,0.93,0.56,1.21,0.47,7.15,10.09,10.98,1.68,4.72,3.18,1.36,2.66,1.12,0.73,5.84,2.29,16.67,16.67,15.93,4.19,0.05%,135,126,THURS,368366,16,6412725,10.36,22.29,1.02,1.02,2.62,10.28,13.36,15.93,18.24,22.35,23.9,31.35,
8985462,"Asa Newell",,,ATL,BKN,164222,1524332,,1,0.43,0.12,0.02,0.06,0.03,0.03,0.02,0.45,0.55,0.57,0.05,0.14,0.19,0.1,0.15,0.06,0.04,0.34,0.16,0.72,0.72,0.73,32,0%,135,126,THURS,457543,18,8985462,0.73,0.73,0,0,0,0.31,0.52,0.73,0.94,1.25,1.33,1.39,
1115132,"Nic Claxton",5800,C,BKN,ATL,164222,1061682,,28,12.03,7.16,3.21,0.05,1.57,0.77,0.81,15.24,19.19,22.4,1.58,10.37,8.6,4.86,0.24,3.72,2.13,8.84,4.91,28.61,28.61,28.35,4.89,5.74%,126,135,THURS,71024,22,1115132,21.42,36.13,3.86,3.86,10.67,21.39,25.52,28.35,31.44,36.08,38.14,46.14,
1115590,"Terance Mann",3600,PG/SG,BKN,ATL,164222,879504,,18,7.33,2.2,2.24,0.87,1.24,0.25,0.23,9.57,9.53,11.77,0.48,4.44,3.66,1.84,2.35,1.32,1.04,6.01,2.71,13.53,13.53,14.22,3.95,0.19%,126,135,THURS,74628,23,1115590,8.88,20.37,0.73,0.73,1.63,8.79,11.89,14.22,16.81,20.68,22.23,28.44,
3587751,"Ochai Agbaji",3400,SG/SF,BKN,ATL,164222,1132831,,18,7.6,2.99,1.29,1,1.08,0.72,0.43,8.89,10.59,11.88,1.15,4.28,3.94,1.95,3.1,0.92,0.68,7.04,2.95,15.49,15.49,15.53,4.57,0.19%,126,135,THURS,72696,27,3587751,9.84,21.91,2.65,2.65,4.93,9.84,13.2,15.53,18.12,22,23.81,31.32,
3587995,"E.J. Liddell",3200,C,BKN,ATL,164222,1176246,,10,3.73,2.33,0.82,0.7,0.47,0.23,0.15,4.55,6.06,6.88,0.38,3.15,1.28,0.62,2.18,0.53,0.41,3.46,1.32,8.43,8.43,8.75,2.73,0.29%,126,135,THURS,89615,28,3587995,4.56,13.84,0,0,0.03,4.51,6.89,8.75,10.87,14.05,15.38,21.48,
3588057,"Josh Minott",3200,SF/PF,BKN,ATL,164222,1324299,,15,6.66,2.74,0.72,1.14,1.24,0.93,0.3,7.38,9.4,10.12,1.23,3.46,2.6,1.2,2.94,1.07,0.86,5.54,2.34,13.48,13.48,13.58,4.24,4.73%,126,135,THURS,179736,29,3588057,8.14,19.93,1.38,1.38,3.2,8.1,11.23,13.58,15.93,19.59,21.15,29.25,
