date,preset,archetype,config_hash,lineup_index,ricky_rank,ricky_tag,ricky_score,total_gpp_score,total_ceil,total_proj,total_actual,avg_own_pct,total_salary,diff
2026-03-18,GPP Main,Default,98ba688b,7,22,,1.0361,253.8788527264141,272.45,193.94010500078375,271.5,0.0104125,50000,77.55989499921625
2026-03-18,GPP Main,Default,98ba688b,30,4,,1.3903,254.57296252466915,288.59,193.13471866570754,269.0,0.037099999999999994,49900,75.86528133429246
2026-03-18,GPP Main,Default,98ba688b,25,20,,1.0409,248.15005569229666,293.19,196.7125891223235,268.0,0.0620125,49900,71.2874108776765
2026-03-18,GPP Main,Default,98ba688b,1,1,SE Core,1.4727,254.56095347391653,299.21,195.1207227814098,263.5,0.096925,49900,68.3792772185902
2026-03-18,GPP Main,Default,98ba688b,3,12,,1.1219,246.91282521347085,299.69,195.85331836831253,263.25,0.062375,49900,67.39668163168747
2026-03-18,GPP Main,Default,98ba688b,4,16,,1.067,250.62698805902383,284.02,192.84514986991863,256.75,0.028262500000000003,49800,63.90485013008137
2026-03-18,GPP Main,Default,98ba688b,32,19,,1.0507,247.82967482875208,296.49,191.7750398868075,255.75,0.07944999999999999,49600,63.97496011319251
2026-03-18,GPP Main,Default,98ba688b,10,38,,0.5117,245.5175136809485,271.99,190.72007963179007,237.75,0.0131375,49900,47.02992036820993
2026-03-18,GPP Main,Default,98ba688b,15,23,,1.0267,252.73939907849856,275.36,194.35339691116846,234.75,0.0141375,49800,40.39660308883154
2026-03-18,GPP Main,Default,98ba688b,28,7,,1.2024,249.9217013091293,291.95,193.01610248986964,234.5,0.0328625,49900,41.48389751013036
2026-03-18,GPP Main,Default,98ba688b,26,5,,1.227,250.963879196385,288.84,194.28349834310956,234.0,0.020200000000000003,49800,39.71650165689044
2026-03-18,GPP Main,Default,98ba688b,39,13,,1.1003,247.79060354334277,301.17,190.9256710664796,234.0,0.1005,49900,43.074328933520405
2026-03-18,GPP Main,Default,98ba688b,5,10,,1.1484,247.94985483317774,295.95,190.63719104830457,229.75,0.043687500000000004,49900,39.11280895169543
2026-03-18,GPP Main,Default,98ba688b,14,3,SE Alt,1.4211,252.9089792655972,294.28999999999996,191.39428910643642,228.75,0.0391875,50000,37.35571089356358
2026-03-18,GPP Main,Default,98ba688b,2,32,,0.7386,242.96066334208234,299.90999999999997,196.1716094009984,228.75,0.1141,50000,32.57839059900161
2026-03-18,GPP Main,Default,98ba688b,36,25,,0.911,251.49373245967377,273.45,194.58337842135563,227.0,0.01215,49600,32.41662157864437
2026-03-18,GPP Main,Default,98ba688b,20,18,,1.0551,249.81360091451387,291.87,196.0815676247073,226.0,0.0808375,49800,29.918432375292696
2026-03-18,GPP Main,Default,98ba688b,24,8,,1.1915,253.46795899983874,283.28,188.62020706115933,223.5,0.03845,49800,34.879792938840666
